name,xmin,ymin,xmax,ymax
0_QRCode,78,93,176,194
2_PtName,95,394,276,424
1a_InsuredID,1038,330,1188,357
5_PtAddress,94,457,341,485
3_PtDOB_MM,662,393,699,425
3_PtDOB_DD,719,399,756,427
3_PtDOB_YY,773,397,809,426
3_PtDOB_Male,867,398,892,420
4_InsuredName,1036,392,1222,423
7_InsuredAddress,1042,453,1289,480
6_PtRelationInsured_Self,693,461,726,488
5_PtAddress_City,95,521,195,552
5_PtAddress_State,572,518,599,552
5_PtAddress_Zipcode,99,588,173,621
5_PtAddress_Telephone,353,590,538,621
9_OtherInsuredName,96,652,259,683
9a_OtherInsuredPolicyGroupNumber,95,708,233,743
9b_ReservedNUCC,96,784,203,813
9c_ReservedNUCC,93,847,221,871
9c_InsPlan_ProgramName,95,907,232,939
8_ReservedNUCC,635,558,989,584
7_InsuredAddress_City,1034,513,1145,553
7_InsuredAddress_State,1490,513,1526,545
7_InsuredAddress_Zipcode,1040,585,1120,618
7_InsuredAddress_Telephone,1316,585,1498,615
11_InsuredPolicyGroupFECA,1036,645,1263,678
11a_InsuredDOB_MM,1090,717,1128,750
11a_InsuredDOB_DD,1143,714,1178,752
11a_InsuredDOB_YY,1221,717,1260,748
11a_InsuredSex_Male,1365,719,1395,745
10a_PtCondition_EmploymentYes,722,707,768,751
10b_PtCondition_AutoAccidentNo,854,779,883,818
10b_PtCondition_AutoAccidentPlace,926,774,967,813
11b_OtherClaimID,1026,777,1232,810
10c_PtCondition_OtherAccidentYes,736,844,766,873
11c_InsurancePlanName,1038,839,1159,871
10d_ClaimCodes,645,907,714,940
11d_OtherHealthBenefit_Yes,1059,903,1092,941
12_Signed,198,994,407,1063
12_Date,759,1025,874,1057
13_Signed,1142,1001,1352,1057
14_MM,108,1108,142,1137
14_DD,161,1107,192,1135
14_YY,218,1107,249,1134
14_Qual,382,1105,438,1141
15_Qual,656,1104,696,1131
15_MM,786,1103,819,1132
15_DD,841,1104,876,1131
15_YY,908,1106,947,1134
16_From_MM,1102,1100,1138,1133
16_From_DD,1166,1101,1200,1134
16_From_YY,1235,1103,1272,1131
16_To_MM,1375,1103,1408,1131
16_To_DD,1435,1103,1466,1131
16_To_YY,1499,1098,1543,1130
18_Hosp_FromMM,1101,1167,1142,1198
18_Hosp_FromDD,1168,1164,1201,1195
18_Hosp_FromYY,1236,1170,1273,1194
18_Hosp_ToMM,1376,1167,1412,1194
18_Hosp_ToDD,1436,1167,1465,1194
18_Hosp_ToYY,1498,1165,1533,1194
17_ReferProvider,90,1159,333,1194
17a,653,1140,770,1165
17b_NPI,695,1170,773,1193
19_AdditionalClaimInfo,93,1227,412,1253
20_OutsideLab_Y,1065,1227,1094,1259
20_OutsideLab_Charges,1341,1221,1462,1252
21_Diagnosis_A,123,1298,187,1325
21_Diagnosis_E,116,1326,207,1361
21_Diagnosis_I,120,1359,188,1394
21_Diagnosis_B,369,1298,452,1327
21_Diagnosis_F,368,1328,427,1359
21_Diagnosis_J,368,1359,443,1390
21_Diagnosis_C,622,1298,715,1324
21_Diagnosis_G,621,1324,693,1358
21_Diagnosis_K,622,1361,709,1392
21_Diagnosis_D,876,1300,936,1325
21_Diagnosis_H,872,1326,955,1357
21_Diagnosis_L,880,1358,942,1390
21_ICDInd.,883,1266,905,1294
22_ResubmissionCode,1106,1292,1168,1327
22_OriginalRefNo,1256,1297,1363,1327
23_PriorAuthNumber,1038,1354,1183,1390
24A_1,87,1458,181,1486
24A_1From_MM,99,1496,122,1515
24A_1From_DD,154,1494,174,1518
